2022-01-15 11:56:21,625 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@sequential+block@e5d9013de2244a0c973a15d083a6b84b
2022-01-15 11:56:21,625 | root | DEBUG | old value: lms_web_url and new_value : http://localhost:8000/courses/course-v1:test+101+2014_T1/jump_to/block-v1:test+101+2014_T1+size@5+type@sequential+block@e5d9013de2244a0c973a15d083a6b84b
2022-01-15 11:56:21,625 | root | DEBUG | old value: type and new_value : sequential
2022-01-15 11:56:21,625 | root | DEBUG | old value: children and new_value : block-v1:test+101+2014_T1+size@5+type@vertical+block@9194a768f4c74eaf943695d12a896d3b
2022-01-15 11:56:21,625 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@chapter+block@cd702a4916ce401aab60f3c3d5f212e0 and new_key : block-v1:test+101+2014_T1+size@5+type@chapter+block@cd702a4916ce401aab60f3c3d5f212e0
2022-01-15 11:56:21,625 | root | DEBUG | old value: display_name and new_value : Section
2022-01-15 11:56:21,625 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@chapter+block@cd702a4916ce401aab60f3c3d5f212e0
2022-01-15 11:56:21,625 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@chapter+block@cd702a4916ce401aab60f3c3d5f212e0
2022-01-15 11:56:21,625 | root | DEBUG | old value: lms_web_url and new_value : http://localhost:8000/courses/course-v1:test+101+2014_T1/jump_to/block-v1:test+101+2014_T1+size@5+type@chapter+block@cd702a4916ce401aab60f3c3d5f212e0
2022-01-15 11:56:21,625 | root | DEBUG | old value: type and new_value : chapter
2022-01-15 11:56:21,625 | root | DEBUG | old value: children and new_value : block-v1:test+101+2014_T1+size@5+type@sequential+block@e5d9013de2244a0c973a15d083a6b84b
2022-01-15 11:56:21,625 | root | DEBUG | old value: children and new_value : block-v1:test+101+2014_T1+size@5+type@sequential+block@6d4aec0ce1334d86b113263d24e1d1ac
2022-01-15 11:56:21,625 | root | DEBUG | old value: children and new_value : block-v1:test+101+2014_T1+size@5+type@sequential+block@264cb12540c7478b8d70ffff40e4d40e
2022-01-15 11:56:21,625 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@vertical+block@9194a768f4c74eaf943695d12a896d3b and new_key : block-v1:test+101+2014_T1+size@5+type@vertical+block@9194a768f4c74eaf943695d12a896d3b
2022-01-15 11:56:21,625 | root | DEBUG | old value: display_name and new_value : Unit
2022-01-15 11:56:21,625 | root | DEBUG | old value: parent and new_value : block-v1:test+101+2014_T1+size@5+type@sequential+block@e5d9013de2244a0c973a15d083a6b84b
2022-01-15 11:56:21,625 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@vertical+block@9194a768f4c74eaf943695d12a896d3b
2022-01-15 11:56:21,625 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@vertical+block@9194a768f4c74eaf943695d12a896d3b
2022-01-15 11:56:21,625 | root | DEBUG | old value: lms_web_url and new_value : http://localhost:8000/courses/course-v1:test+101+2014_T1/jump_to/block-v1:test+101+2014_T1+size@5+type@vertical+block@9194a768f4c74eaf943695d12a896d3b
2022-01-15 11:56:21,625 | root | DEBUG | old value: type and new_value : vertical
2022-01-15 11:56:21,625 | root | DEBUG | old value: children and new_value : block-v1:test+101+2014_T1+size@5+type@html+block@8a4c0c09410f4512afd43199d6b3603a
2022-01-15 11:56:21,625 | root | DEBUG | old value: children and new_value : block-v1:test+101+2014_T1+size@5+type@html+block@3fe70922297e4fd999517d6c4ae9052a
2022-01-15 11:56:21,625 | root | DEBUG | old value: children and new_value : block-v1:test+101+2014_T1+size@5+type@discussion+block@eb0e031a5a3d4fd8b182310a4ea7e870
2022-01-15 11:56:21,625 | root | DEBUG | old value: children and new_value : block-v1:test+101+2014_T1+size@5+type@problem+block@6df6093e5aed4287beba73de646a8fab
2022-01-15 11:56:21,625 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@vertical+block@f3fc3f0d85ea4b529192be3f70ab4d80 and new_key : block-v1:test+101+2014_T1+size@5+type@vertical+block@f3fc3f0d85ea4b529192be3f70ab4d80
2022-01-15 11:56:21,625 | root | DEBUG | old value: display_name and new_value : Unit
2022-01-15 11:56:21,625 | root | DEBUG | old value: parent and new_value : block-v1:test+101+2014_T1+size@5+type@sequential+block@6d4aec0ce1334d86b113263d24e1d1ac
2022-01-15 11:56:21,625 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@vertical+block@f3fc3f0d85ea4b529192be3f70ab4d80
2022-01-15 11:56:21,625 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@vertical+block@f3fc3f0d85ea4b529192be3f70ab4d80
2022-01-15 11:56:21,625 | root | DEBUG | old value: lms_web_url and new_value : http://localhost:8000/courses/course-v1:test+101+2014_T1/jump_to/block-v1:test+101+2014_T1+size@5+type@vertical+block@f3fc3f0d85ea4b529192be3f70ab4d80
2022-01-15 11:56:21,625 | root | DEBUG | old value: type and new_value : vertical
2022-01-15 11:56:21,625 | root | DEBUG | old value: children and new_value : block-v1:test+101+2014_T1+size@5+type@html+block@0c8c52b6855a401eab1957356ffffab6
2022-01-15 11:56:21,625 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@vertical+block@7629a70459ba4bb49fddd15a38736bbe and new_key : block-v1:test+101+2014_T1+size@5+type@vertical+block@7629a70459ba4bb49fddd15a38736bbe
2022-01-15 11:56:21,625 | root | DEBUG | old value: display_name and new_value : Unit
2022-01-15 11:56:21,625 | root | DEBUG | old value: parent and new_value : block-v1:test+101+2014_T1+size@5+type@sequential+block@264cb12540c7478b8d70ffff40e4d40e
2022-01-15 11:56:21,625 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@vertical+block@7629a70459ba4bb49fddd15a38736bbe
2022-01-15 11:56:21,625 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@vertical+block@7629a70459ba4bb49fddd15a38736bbe
2022-01-15 11:56:21,625 | root | DEBUG | old value: lms_web_url and new_value : http://localhost:8000/courses/course-v1:test+101+2014_T1/jump_to/block-v1:test+101+2014_T1+size@5+type@vertical+block@7629a70459ba4bb49fddd15a38736bbe
2022-01-15 11:56:21,625 | root | DEBUG | old value: type and new_value : vertical
2022-01-15 11:56:21,641 | root | DEBUG | old value: children and new_value : block-v1:test+101+2014_T1+size@5+type@problem+block@52dd1f622e8e4e5582f3d459116f5145
2022-01-15 11:56:21,641 | root | DEBUG | old value: children and new_value : block-v1:test+101+2014_T1+size@5+type@problem+block@56460f5660a047898d071bb7435fb7e1
2022-01-15 11:56:21,641 | root | DEBUG | old value: children and new_value : block-v1:test+101+2014_T1+size@5+type@problem+block@99cdba267cd04190943c5d6679d126b3
2022-01-15 11:56:21,641 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@problem+block@56460f5660a047898d071bb7435fb7e1 and new_key : block-v1:test+101+2014_T1+size@5+type@problem+block@56460f5660a047898d071bb7435fb7e1
2022-01-15 11:56:21,641 | root | DEBUG | old value: display_name and new_value : Dropdown
2022-01-15 11:56:21,641 | root | DEBUG | old value: parent and new_value : block-v1:test+101+2014_T1+size@5+type@vertical+block@7629a70459ba4bb49fddd15a38736bbe
2022-01-15 11:56:21,641 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@problem+block@56460f5660a047898d071bb7435fb7e1
2022-01-15 11:56:21,641 | root | DEBUG | old value: lms_web_url and new_value : http://localhost:8000/courses/course-v1:test+101+2014_T1/jump_to/block-v1:test+101+2014_T1+size@5+type@problem+block@56460f5660a047898d071bb7435fb7e1
2022-01-15 11:56:21,641 | root | DEBUG | old value: type and new_value : problem
2022-01-15 11:56:21,641 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@problem+block@56460f5660a047898d071bb7435fb7e1
2022-01-15 11:56:21,641 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@vertical+block@c4deff835b0344d5b0dac4d4426c7c9c and new_key : block-v1:test+101+2014_T1+size@5+type@vertical+block@c4deff835b0344d5b0dac4d4426c7c9c
2022-01-15 11:56:21,641 | root | DEBUG | old value: display_name and new_value : Unit
2022-01-15 11:56:21,641 | root | DEBUG | old value: parent and new_value : block-v1:test+101+2014_T1+size@5+type@sequential+block@264cb12540c7478b8d70ffff40e4d40e
2022-01-15 11:56:21,641 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@vertical+block@c4deff835b0344d5b0dac4d4426c7c9c
2022-01-15 11:56:21,641 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@vertical+block@c4deff835b0344d5b0dac4d4426c7c9c
2022-01-15 11:56:21,641 | root | DEBUG | old value: lms_web_url and new_value : http://localhost:8000/courses/course-v1:test+101+2014_T1/jump_to/block-v1:test+101+2014_T1+size@5+type@vertical+block@c4deff835b0344d5b0dac4d4426c7c9c
2022-01-15 11:56:21,641 | root | DEBUG | old value: type and new_value : vertical
2022-01-15 11:56:21,641 | root | DEBUG | old value: children and new_value : block-v1:test+101+2014_T1+size@5+type@problem+block@1400cea1ed0c4b1ba2d9467933ad5967
2022-01-15 11:56:21,641 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@html+block@0c8c52b6855a401eab1957356ffffab6 and new_key : block-v1:test+101+2014_T1+size@5+type@html+block@0c8c52b6855a401eab1957356ffffab6
2022-01-15 11:56:21,641 | root | DEBUG | old value: display_name and new_value : Text
2022-01-15 11:56:21,641 | root | DEBUG | old value: parent and new_value : block-v1:test+101+2014_T1+size@5+type@vertical+block@f3fc3f0d85ea4b529192be3f70ab4d80
2022-01-15 11:56:21,641 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@html+block@0c8c52b6855a401eab1957356ffffab6
2022-01-15 11:56:21,642 | root | DEBUG | old value: lms_web_url and new_value : http://localhost:8000/courses/course-v1:test+101+2014_T1/jump_to/block-v1:test+101+2014_T1+size@5+type@html+block@0c8c52b6855a401eab1957356ffffab6
2022-01-15 11:56:21,642 | root | DEBUG | old value: type and new_value : html
2022-01-15 11:56:21,642 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@html+block@0c8c52b6855a401eab1957356ffffab6
2022-01-15 11:56:21,642 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@problem+block@1400cea1ed0c4b1ba2d9467933ad5967 and new_key : block-v1:test+101+2014_T1+size@5+type@problem+block@1400cea1ed0c4b1ba2d9467933ad5967
2022-01-15 11:56:21,642 | root | DEBUG | old value: display_name and new_value : Dropdown
2022-01-15 11:56:21,642 | root | DEBUG | old value: parent and new_value : block-v1:test+101+2014_T1+size@5+type@vertical+block@c4deff835b0344d5b0dac4d4426c7c9c
2022-01-15 11:56:21,642 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@problem+block@1400cea1ed0c4b1ba2d9467933ad5967
2022-01-15 11:56:21,642 | root | DEBUG | old value: lms_web_url and new_value : http://localhost:8000/courses/course-v1:test+101+2014_T1/jump_to/block-v1:test+101+2014_T1+size@5+type@problem+block@1400cea1ed0c4b1ba2d9467933ad5967
2022-01-15 11:56:21,642 | root | DEBUG | old value: type and new_value : problem
2022-01-15 11:56:21,642 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@problem+block@1400cea1ed0c4b1ba2d9467933ad5967
2022-01-15 11:56:21,642 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@sequential+block@264cb12540c7478b8d70ffff40e4d40e and new_key : block-v1:test+101+2014_T1+size@5+type@sequential+block@264cb12540c7478b8d70ffff40e4d40e
2022-01-15 11:56:21,642 | root | DEBUG | old value: display_name and new_value : Subsection
2022-01-15 11:56:21,642 | root | DEBUG | old value: parent and new_value : block-v1:test+101+2014_T1+size@5+type@chapter+block@cd702a4916ce401aab60f3c3d5f212e0
2022-01-15 11:56:21,642 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@sequential+block@264cb12540c7478b8d70ffff40e4d40e
2022-01-15 11:56:21,642 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@sequential+block@264cb12540c7478b8d70ffff40e4d40e
